case_id,category,version_case_type,expected_class,baseline,v2,v3,baseline_correct,v2_correct,v3_correct,change_v2_to_v3,safety_effect,notes
V3-EQ-07,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,technical dotted grouping
V3-EQ-08,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,decimal trailing zero
V3-EQ-09,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,SQLCODE punctuation
V3-EQ-10,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,CVE formatting
V3-EQ-11,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,dash formatting
V3-EQ-12,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,percentage trailing zero
V3-EQ-13,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,signed identifier formatting
V3-EQ-14,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,explicit lower-bound family
V3-IND-01,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,ambiguous locale magnitude
V3-IND-02,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,mixed separator ambiguity
V3-IND-03,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,ambiguous magnitude
V3-IND-04,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,exact versus minor-family unresolved
V3-IND-05,INDETERMINATE,AMBIGUOUS,INDETERMINATE,INDETERMINATE,REJECT,INDETERMINATE,True,False,True,FIXED,NONE,major specificity unresolved
V3-IND-06,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,truncated version specificity
V3-IND-07,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,multiple support versions
V3-IND-08,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,unresolved range context
V3-IND-09,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,claim-support binding ambiguity
V3-SEC-01,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,unknown support
V3-SEC-02,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,hidden support
V3-SEC-03,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,unauthorized support
V3-SEC-04,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,cross-tenant injection
V3-SEC-05,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,spoofed support
