occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C24.O2,C24,IDENTIFIER_DUPLICATE,204,204,NUMBER,56,59,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C30.O1,C30,VERSION_QUERY_ECHO,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,True,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C30.O2,C30,VERSION_QUERY_ECHO,8.1.2,8.1.2,VERSION,59,64,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,False,UNCHANGED_SAFE,SAFE
C33.O1,C33,REVERSED_VERSION,8.1.2,8.1.2,VERSION,16,21,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C33.O2,C33,REVERSED_VERSION,8.1.2,8.1.2,VERSION,27,32,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C33.O3,C33,REVERSED_VERSION,8.1.3,8.1.3,VERSION,81,86,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,True,True,True,UNCHANGED_SAFE,SAFE
C34.O1,C34,REVERSED_IDENTIFIER,204,204,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C34.O2,C34,REVERSED_IDENTIFIER,204,204,NUMBER,29,32,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C34.O3,C34,REVERSED_IDENTIFIER,205,205,NUMBER,79,82,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C39.O1,C39,SKIP_SKIP_VERSION,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C39.O2,C39,SKIP_SKIP_VERSION,8.1.2,8.1.2,VERSION,24,29,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,True,OTHER,SAFE
C39.O3,C39,SKIP_SKIP_VERSION,8.1.3,8.1.3,VERSION,80,85,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C43.O1,C43,AMBIGUOUS_VERSION_SIBLING,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C43.O2,C43,AMBIGUOUS_VERSION_SIBLING,8.1.2,8.1.2,VERSION,20,25,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C54.O2,C54,REGRESSION_VERSION,8.1.2,8.1.2,VERSION,62,67,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C55.O1,C55,REGRESSION_IDENTIFIER,204,204,NUMBER,27,30,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C55.O2,C55,REGRESSION_IDENTIFIER,205,205,NUMBER,45,48,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C58.O1,C58,REGRESSION_VERSION_SPECIFICITY,8.1.2,8.1.2,VERSION,21,26,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C58.O2,C58,REGRESSION_VERSION_SPECIFICITY,8.1,8.1,VERSION,38,41,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
