case_id,category,polarity_class,expected_class,expected_behavior,v3_outcome,v4_outcome,v3_correct,v4_correct,v3_forced_abstain,v4_forced_abstain,change_type,safety_effect,notes
N02,NEGATED_ASSERTION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N03,NEGATED_ASSERTION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N04,NEGATED_ASSERTION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,PASS,PASS,False,False,False,False,UNCHANGED_WRONG,NO_CHANGE,
N05,NEGATED_ASSERTION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N06,NEGATED_ASSERTION,NEGATED_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
N07,NEGATED_ASSERTION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,PASS,PASS,False,False,False,False,UNCHANGED_WRONG,NO_CHANGE,
N08,NEGATED_ASSERTION,NEGATED_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
M01,COMPARISON,COMPARISON_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M02,COMPARISON,COMPARISON_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M03,COMPARISON,COMPARISON_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M04,COMPARISON,COMPARISON_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M05,COMPARISON,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
M06,COMPARISON,COMPARISON_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M07,COMPARISON,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
M08,COMPARISON,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
Q01,QUOTED_REPORTED,QUOTED_VALUE,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
Q02,QUOTED_REPORTED,QUOTED_VALUE,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
Q03,QUOTED_REPORTED,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
Q04,QUOTED_REPORTED,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
Q05,QUOTED_REPORTED,QUOTED_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
Q06,QUOTED_REPORTED,QUOTED_VALUE,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A01,AMBIGUOUS_POLARITY,UNKNOWN,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A02,AMBIGUOUS_POLARITY,UNKNOWN,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A03,AMBIGUOUS_POLARITY,UNKNOWN,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A04,AMBIGUOUS_POLARITY,UNKNOWN,INDETERMINATE,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A05,AMBIGUOUS_POLARITY,UNKNOWN,INDETERMINATE,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A06,AMBIGUOUS_POLARITY,UNKNOWN,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R01,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R02,REGRESSION,UNKNOWN,INDETERMINATE,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R03,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R04,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R05,REGRESSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R06,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R07,REGRESSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R08,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R09,REGRESSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R10,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R11,REGRESSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R12,REGRESSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R13,REGRESSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R14,REGRESSION,UNKNOWN,INDETERMINATE,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R15,REGRESSION,NEGATED_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,T4 boolean normalization is explicitly out of scope; preserve conservative behavior
S01,SECURITY,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,synthetic hostile support text; no authorization semantics changed
S02,SECURITY,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
S03,SECURITY,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
S04,SECURITY,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
