case_id,query_id,arm,claim,support,gold,source,notes,target_index,baseline_outcome,candidate_outcome,change
S-NUM-MISMATCH,synthetic_numeric,DEV,Wait 50 seconds.,"('Wait 5 seconds.',)",TRUE_CONFLICT,synthetic,ordinary numeric mismatch,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
S-VERSION-FAMILY,synthetic_version,DEV,Version 8 or later is supported.,"('Version 8.1.2 is supported.',)",FALSE_POSITIVE,synthetic,family claim permits later patch release,,INDETERMINATE,INDETERMINATE,UNCHANGED
S-VERSION-V-PREFIX,synthetic_version,DEV,Use v8.0.,"('Use version 8.0.',)",FALSE_POSITIVE,synthetic,optional v prefix,,INDETERMINATE,SUPPORTED,FIXED
S-VERSION-EXACT-MISMATCH,synthetic_version,DEV,Use exactly version 8.0.0.,"('Use version 8.1.2.',)",TRUE_CONFLICT,synthetic,exact specificity preserved,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
S-CVE-SAME,synthetic_identifier,DEV,The issue is CVE-2024-1234.,"('The issue is CVE-2024-1234.',)",FALSE_POSITIVE,synthetic,hyphenated identifier,,SUPPORTED,SUPPORTED,FIXED
S-CVE-DIFFERENT,synthetic_identifier,DEV,The issue is CVE-2024-1234.,"('The issue is CVE-2024-5678.',)",TRUE_CONFLICT,synthetic,different identifier,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
S-SQLCODE-SIGNED,synthetic_identifier,DEV,The database returns SQLCODE -204.,"('The database returns SQLCODE=-204.',)",FALSE_POSITIVE,synthetic,signed SQLCODE formatting,,SUPPORTED,SUPPORTED,FIXED
S-SQLCODE-MISMATCH,synthetic_identifier,DEV,The database returns SQLCODE -204.,"('The database returns SQLCODE=-203.',)",TRUE_CONFLICT,synthetic,signed code mismatch,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
S-NEGATIVE-CONTRAST,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,"('The feature is supported in Portal 8.5.',)",INDETERMINATE,synthetic,different version does not establish a contradiction,,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
S-NEGATIVE-CONFLICT,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,"('The feature is supported in Portal 8.0.',)",TRUE_CONFLICT,synthetic,support contradicts negation,,SUPPORTED,SUPPORTED,MISSED
S-SEGMENT-EXACT,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,"('The installed release is 8.0.0.2 after a long unrelated preface.  xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',)",FALSE_POSITIVE,synthetic,exact literal remains in one attached support unit,,SUPPORTED,SUPPORTED,FIXED
S-SEGMENT-DISTRACTOR,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,"('The installed release is 8.1.0.0.',)",TRUE_CONFLICT,synthetic,same-unit different release,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
