candidate,case_id,query_id,arm,claim,gold,baseline_outcome,candidate_outcome,change,source,notes
IDENTIFIER_NEGATIVE,H-emanual_1#row-0023-P0-T0,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
IDENTIFIER_NEGATIVE,H-emanual_1#row-0023-P0-T1,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
IDENTIFIER_NEGATIVE,H-emanual_1#row-0023-P0-T2,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
IDENTIFIER_NEGATIVE,H-emanual_1#row-0023-P0-T3,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
IDENTIFIER_NEGATIVE,H-emanual_539#row-0027-P0-T0,emanual_539#row-0027,DEV,Yes. You can select Ambient Light Detection in Settings > General > Eco Solution. It automatically adjusts the TV’s brightness according to the ambient light level.,INDETERMINATE,INDETERMINATE,INDETERMINATE,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=INDETERMINATE; value=true
IDENTIFIER_NEGATIVE,H-emanual_558#row-0032-P0-T0,emanual_558#row-0032,DEV,"Yes. When the TV is in Ambient Mode, press the TV-mode button to return to TV mode and watch broadcasts or content from connected external devices. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
IDENTIFIER_NEGATIVE,H-emanual_645#row-0051-P0-T0,emanual_645#row-0051,DEV,"Yes. Check the TV’s volume and the volume on the connected external device. Also verify that Sound Output is set to TV Speaker, check the external device’s audio output setting, and make sure nothing is plugged into the TV’s headphone jack. You can also reboot the connected device by disconnecting and reconnecting its power cable. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
IDENTIFIER_NEGATIVE,H-emanual_645#row-0117-P0-T0,emanual_645#row-0117,DEV,"Yes. Check and adjust both the TV’s volume and the connected external device’s volume. If you use an external device, check its audio-output setting—for example, set a cable box’s audio option to HDMI when it is connected by HDMI. Also check that nothing is plugged into the TV’s headphone jack, and set Sound Output to TV Speaker if appropriate.",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
IDENTIFIER_NEGATIVE,S-NUM-GROUP-DOT,synthetic_numeric,DEV,ARG_MAX permits 131.072 arguments.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,unambiguous technical thousands grouping
IDENTIFIER_NEGATIVE,S-NUM-GROUP-COMMA,synthetic_numeric,DEV,"The limit is 1,000 entries.",FALSE_POSITIVE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,comma grouping
IDENTIFIER_NEGATIVE,S-NUM-DECIMAL-GUARD,synthetic_numeric,DEV,The measured value is 1.5 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,decimal must not collapse into integer
IDENTIFIER_NEGATIVE,S-NUM-MISMATCH,synthetic_numeric,DEV,Wait 50 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,ordinary numeric mismatch
IDENTIFIER_NEGATIVE,S-VERSION-FAMILY,synthetic_version,DEV,Version 8 or later is supported.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,family claim permits later patch release
IDENTIFIER_NEGATIVE,S-VERSION-V-PREFIX,synthetic_version,DEV,Use v8.0.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,optional v prefix
IDENTIFIER_NEGATIVE,S-VERSION-EXACT-MISMATCH,synthetic_version,DEV,Use exactly version 8.0.0.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,exact specificity preserved
IDENTIFIER_NEGATIVE,S-CVE-SAME,synthetic_identifier,DEV,The issue is CVE-2024-1234.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,hyphenated identifier
IDENTIFIER_NEGATIVE,S-CVE-DIFFERENT,synthetic_identifier,DEV,The issue is CVE-2024-1234.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,different identifier
IDENTIFIER_NEGATIVE,S-SQLCODE-SIGNED,synthetic_identifier,DEV,The database returns SQLCODE -204.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,signed SQLCODE formatting
IDENTIFIER_NEGATIVE,S-SQLCODE-MISMATCH,synthetic_identifier,DEV,The database returns SQLCODE -204.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,signed code mismatch
IDENTIFIER_NEGATIVE,S-NEGATIVE-CONTRAST,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,INDETERMINATE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,different version does not establish a contradiction
IDENTIFIER_NEGATIVE,S-NEGATIVE-CONFLICT,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,TRUE_CONFLICT,SUPPORTED,DIRECT_CONFLICT,PRESERVED,synthetic,support contradicts negation
IDENTIFIER_NEGATIVE,S-SEGMENT-EXACT,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,exact literal remains in one attached support unit
IDENTIFIER_NEGATIVE,S-SEGMENT-DISTRACTOR,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,same-unit different release
SEGMENTATION,H-emanual_1#row-0023-P0-T0,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
SEGMENTATION,H-emanual_1#row-0023-P0-T1,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
SEGMENTATION,H-emanual_1#row-0023-P0-T2,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
SEGMENTATION,H-emanual_1#row-0023-P0-T3,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
SEGMENTATION,H-emanual_539#row-0027-P0-T0,emanual_539#row-0027,DEV,Yes. You can select Ambient Light Detection in Settings > General > Eco Solution. It automatically adjusts the TV’s brightness according to the ambient light level.,INDETERMINATE,INDETERMINATE,INDETERMINATE,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=INDETERMINATE; value=true
SEGMENTATION,H-emanual_558#row-0032-P0-T0,emanual_558#row-0032,DEV,"Yes. When the TV is in Ambient Mode, press the TV-mode button to return to TV mode and watch broadcasts or content from connected external devices. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
SEGMENTATION,H-emanual_645#row-0051-P0-T0,emanual_645#row-0051,DEV,"Yes. Check the TV’s volume and the volume on the connected external device. Also verify that Sound Output is set to TV Speaker, check the external device’s audio output setting, and make sure nothing is plugged into the TV’s headphone jack. You can also reboot the connected device by disconnecting and reconnecting its power cable. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
SEGMENTATION,H-emanual_645#row-0117-P0-T0,emanual_645#row-0117,DEV,"Yes. Check and adjust both the TV’s volume and the connected external device’s volume. If you use an external device, check its audio-output setting—for example, set a cable box’s audio option to HDMI when it is connected by HDMI. Also check that nothing is plugged into the TV’s headphone jack, and set Sound Output to TV Speaker if appropriate.",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
SEGMENTATION,S-NUM-GROUP-DOT,synthetic_numeric,DEV,ARG_MAX permits 131.072 arguments.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,unambiguous technical thousands grouping
SEGMENTATION,S-NUM-GROUP-COMMA,synthetic_numeric,DEV,"The limit is 1,000 entries.",FALSE_POSITIVE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,comma grouping
SEGMENTATION,S-NUM-DECIMAL-GUARD,synthetic_numeric,DEV,The measured value is 1.5 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,decimal must not collapse into integer
SEGMENTATION,S-NUM-MISMATCH,synthetic_numeric,DEV,Wait 50 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,ordinary numeric mismatch
SEGMENTATION,S-VERSION-FAMILY,synthetic_version,DEV,Version 8 or later is supported.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,family claim permits later patch release
SEGMENTATION,S-VERSION-V-PREFIX,synthetic_version,DEV,Use v8.0.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,optional v prefix
SEGMENTATION,S-VERSION-EXACT-MISMATCH,synthetic_version,DEV,Use exactly version 8.0.0.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,exact specificity preserved
SEGMENTATION,S-CVE-SAME,synthetic_identifier,DEV,The issue is CVE-2024-1234.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,hyphenated identifier
SEGMENTATION,S-CVE-DIFFERENT,synthetic_identifier,DEV,The issue is CVE-2024-1234.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,different identifier
SEGMENTATION,S-SQLCODE-SIGNED,synthetic_identifier,DEV,The database returns SQLCODE -204.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,signed SQLCODE formatting
SEGMENTATION,S-SQLCODE-MISMATCH,synthetic_identifier,DEV,The database returns SQLCODE -204.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,signed code mismatch
SEGMENTATION,S-NEGATIVE-CONTRAST,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,INDETERMINATE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,different version does not establish a contradiction
SEGMENTATION,S-NEGATIVE-CONFLICT,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,TRUE_CONFLICT,SUPPORTED,DIRECT_CONFLICT,PRESERVED,synthetic,support contradicts negation
