event_id,query_id,arm,answer_part_index,critical_value,validator_event_status,adjudication,false_positive_subtype,true_conflict_subtype,indeterminate_reason,adjudication_basis,support_values
CV-021,techqa_DEV_Q018#row-0112,ON,0,23505,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-022,techqa_DEV_Q018#row-0112,ON,1,7.5.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The attached APAR uses IBM's compact reported-release form 750 for the claim's 7.5.0 release.,7.5.1
CV-023,techqa_DEV_Q218#row-0137,OFF,0,8.0.0.2,DIRECT_CONFLICT,FALSE_POSITIVE,SUPPORT_SEGMENTATION,,,"The exact claim literal is present in an attached support unit, but the validator trace did not classify that local occurrence as DIRECT_SUPPORT.",1.0.0.2;2.1.2.0;2.2.0.0
CV-024,techqa_DEV_Q218#row-0137,OFF,1,1.0.0.2,DIRECT_CONFLICT,INDETERMINATE,,,MULTI_SUPPORT_CONFLICT,Attached supports exposed multiple conflicting literals for the same claim-local token.,2.1.2.0;2.1.2.1;2.2.0.0;8.0.0.2;8.0.0.4
CV-025,techqa_DEV_Q035#row-0121,OFF,0,2017,DIRECT_CONFLICT,FALSE_POSITIVE,EXTRACTION_ERROR,,,"The attached support contains the hyphenated CVE identifier, but the validator extracted its numeric components as independent critical values.",8
CV-026,techqa_DEV_Q035#row-0121,OFF,0,14919,DIRECT_CONFLICT,FALSE_POSITIVE,EXTRACTION_ERROR,,,"The attached support contains the hyphenated CVE identifier, but the validator extracted its numeric components as independent critical values.",8
CV-027,techqa_DEV_Q035#row-0121,OFF,2,5.0.8.1,DIRECT_CONFLICT,FALSE_POSITIVE,SUPPORT_SEGMENTATION,,,"The exact claim literal is present in an attached support unit, but the validator trace did not classify that local occurrence as DIRECT_SUPPORT.",5.0.0.0;5.0.6.4;5.0.7.0
CV-028,techqa_DEV_Q035#row-0121,OFF,3,5.0.8.2,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-029,techqa_DEV_Q181#row-0079,OFF,1,1,DIRECT_CONFLICT,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,"The support contains a different date-range example (35 days), not the claim's same-day +1 day example.",35
CV-030,techqa_DEV_Q296#row-0040,OFF,2,911,DIRECT_CONFLICT,FALSE_POSITIVE,EXTRACTION_ERROR,,,"The attached support contains SQLCODE=-911, but the validator's numeric extraction did not preserve the signed error-code form.",2146435004;68
CV-031,techqa_DEV_Q300#row-0109,OFF,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-032,techqa_DEV_Q300#row-0109,OFF,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-033,techqa_DEV_Q300#row-0109,OFF,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-034,techqa_DEV_Q300#row-0109,ON,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-035,techqa_DEV_Q300#row-0109,ON,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-036,techqa_DEV_Q300#row-0109,ON,2,0,DIRECT_CONFLICT,FALSE_POSITIVE,SUPPORT_SEGMENTATION,,,"The exact claim literal is present in an attached support unit, but the validator trace did not classify that local occurrence as DIRECT_SUPPORT.",30;2;1
CV-037,techqa_DEV_Q047#row-0156,ON,0,24,DIRECT_CONFLICT,INDETERMINATE,,,MULTI_SUPPORT_CONFLICT,Attached supports exposed multiple conflicting literals for the same claim-local token.,7003;213;91720;2
CV-038,techqa_DEV_Q047#row-0156,ON,1,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-039,techqa_DEV_Q047#row-0156,OFF,2,24,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-040,techqa_DEV_Q047#row-0156,OFF,3,24,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-041,techqa_DEV_Q149#row-0050,OFF,0,7.5.2,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,7.5.2.0;7.5.2.7
CV-042,techqa_DEV_Q149#row-0050,OFF,0,7.2,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-043,techqa_DEV_Q149#row-0050,OFF,0,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-044,techqa_DEV_Q036#row-0037,OFF,0,6002,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-045,techqa_DEV_Q036#row-0037,OFF,0,7000,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-046,techqa_DEV_Q036#row-0037,OFF,0,8000,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-047,techqa_DEV_Q012#row-0133,OFF,0,131.072,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,Claim and attached support used equivalent values after a representation-only comparison.,131072
CV-048,techqa_DEV_Q188#row-0026,OFF,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-049,techqa_DEV_Q188#row-0026,ON,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-050,techqa_DEV_Q267#row-0132,OFF,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-051,techqa_DEV_Q267#row-0132,ON,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-052,techqa_DEV_Q039#row-0060,ON,3,5.0.0.8,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-053,techqa_DEV_Q039#row-0060,ON,3,6.0,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-054,techqa_DEV_Q039#row-0060,ON,3,5.0,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-055,techqa_DEV_Q039#row-0060,ON,3,6.0,DIRECT_CONFLICT,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,The attached support is a different firmware/documentation version and does not establish a claim-local 6.0 conflict.,2.5.0
CV-056,techqa_DEV_Q039#row-0060,OFF,0,5.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,5.0.0.8;6.0.0.0
CV-057,techqa_DEV_Q039#row-0060,OFF,0,6.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,5.0.0.8;6.0.0.0
CV-058,techqa_DEV_Q182#row-0067,OFF,7,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-059,techqa_DEV_Q220#row-0046,ON,0,2014,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-060,techqa_DEV_Q220#row-0046,ON,0,8730,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-061,techqa_DEV_Q220#row-0046,ON,2,2.1,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,2.1.0.1;2.0.4.1;1.0.4.1;2.0.0.1;2.0.2.1
CV-062,techqa_DEV_Q220#row-0046,ON,2,2.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,2.1.0.1;2.0.4.1;1.0.4.1;2.0.0.1;2.0.2.1
CV-063,techqa_DEV_Q220#row-0046,ON,3,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-064,techqa_DEV_Q220#row-0046,OFF,4,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-065,techqa_DEV_Q173#row-0147,ON,0,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,At least one attached support literal is an unambiguous equivalent; other extracted numeric tokens are contextual identifiers or unrelated values.,01795;1000
CV-066,techqa_DEV_Q173#row-0147,ON,0,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,At least one attached support literal is an unambiguous equivalent; other extracted numeric tokens are contextual identifiers or unrelated values.,01795;1000
CV-067,techqa_DEV_Q173#row-0147,ON,3,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,Claim and attached support used equivalent values after a representation-only comparison.,1000
CV-068,techqa_DEV_Q173#row-0147,OFF,0,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,At least one attached support literal is an unambiguous equivalent; other extracted numeric tokens are contextual identifiers or unrelated values.,1000;01795
CV-069,techqa_DEV_Q173#row-0147,OFF,0,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,Claim and attached support used equivalent values after a representation-only comparison.,1000
CV-070,techqa_DEV_Q173#row-0147,OFF,1,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,Claim and attached support used equivalent values after a representation-only comparison.,1000
CV-071,techqa_DEV_Q173#row-0147,OFF,2,1.000,DIRECT_CONFLICT,FALSE_POSITIVE,NUMERIC_EQUIVALENCE,,,Claim and attached support used equivalent values after a representation-only comparison.,1000
CV-072,techqa_DEV_Q173#row-0147,OFF,3,8.7,DIRECT_CONFLICT,FALSE_POSITIVE,CLAIM_SUPPORT_ALIGNMENT,,,The rejected literal occurs in an explicit negative/contrast claim; attached support supports the positive contrasting fact rather than the negated literal.,8.5;8.0.1;8.0;7.5.1;7.5
CV-073,techqa_DEV_Q129#row-0013,OFF,6,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-074,techqa_DEV_Q077#row-0008,ON,1,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-075,techqa_DEV_Q174#row-0049,ON,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-076,techqa_DEV_Q174#row-0049,OFF,0,true,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-077,techqa_DEV_Q308#row-0103,ON,4,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-078,techqa_DEV_Q283#row-0080,ON,2,4,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
