case_id,category,version_case_type,expected_class,baseline,v2,v3,baseline_correct,v2_correct,v3_correct,change_v2_to_v3,safety_effect,unsafe_locale,notes
V3-EQ-04,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,leading-v exact formatting
V3-EQ-05,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,identical exact version
V3-EQ-06,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,technical grouping
V3-EQ-07,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,technical dotted grouping
V3-EQ-08,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,decimal trailing zero
V3-EQ-09,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,SQLCODE punctuation
V3-EQ-10,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,CVE formatting
V3-EQ-11,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,dash formatting
V3-EQ-12,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,percentage trailing zero
V3-EQ-13,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,signed identifier formatting
V3-EQ-14,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,explicit lower-bound family
V3-IND-01,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,True,ambiguous locale magnitude
V3-IND-02,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,True,mixed separator ambiguity
V3-IND-03,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,True,ambiguous magnitude
V3-IND-04,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,False,exact versus minor-family unresolved
V3-IND-05,INDETERMINATE,AMBIGUOUS,INDETERMINATE,INDETERMINATE,REJECT,INDETERMINATE,True,False,True,FIXED,NONE,False,major specificity unresolved
V3-IND-06,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,False,truncated version specificity
V3-IND-07,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,False,True,FIXED,NONE,False,multiple support versions
V3-IND-08,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,False,unresolved range context
V3-IND-09,INDETERMINATE,NONE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,UNCHANGED_CORRECT,NONE,False,claim-support binding ambiguity
V3-SEC-01,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,unknown support
V3-SEC-02,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,hidden support
V3-SEC-03,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,unauthorized support
V3-SEC-04,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,cross-tenant injection
V3-SEC-05,SECURITY_REJECT,NONE,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,spoofed support
