query_id,on_semantic,off_semantic,on_critical_reject,off_critical_reject,on_forced_abstain,off_forced_abstain,on_validator_outcome,off_validator_outcome,transition,notes
techqa_DEV_Q181#row-0079,PARTIAL,UNAVAILABLE,False,True,False,True,NO_REJECT,INDETERMINATE_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q182#row-0067,CORRECT,CORRECT,False,True,False,False,NO_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q186#row-0118,CORRECT,UNAVAILABLE,False,False,False,True,NO_REJECT,NO_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q188#row-0026,CORRECT,UNAVAILABLE,True,True,False,True,INDETERMINATE_REJECT,INDETERMINATE_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q205#row-0022,CORRECT,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q206#row-0057,UNAVAILABLE,UNAVAILABLE,False,False,True,True,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q218#row-0137,CORRECT,CORRECT,False,True,False,False,NO_REJECT,MIXED_REJECTS,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q220#row-0046,CORRECT,CORRECT,True,True,False,False,MIXED_REJECTS,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q237#row-0031,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q238#row-0136,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q239#row-0098,UNAVAILABLE,CORRECT,False,False,False,False,NO_REJECT,NO_REJECT,ON_UNAVAILABLE_OFF_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q246#row-0063,CORRECT,UNAVAILABLE,False,False,False,True,NO_REJECT,NO_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q250#row-0012,UNAVAILABLE,CORRECT,False,True,False,False,NO_REJECT,INDETERMINATE_REJECT,ON_UNAVAILABLE_OFF_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q251#row-0052,CORRECT,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q252#row-0006,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q259#row-0155,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q267#row-0132,PARTIAL,PARTIAL,True,True,False,False,INDETERMINATE_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q275#row-0091,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q277#row-0042,UNAVAILABLE,UNAVAILABLE,True,True,True,True,MIXED_REJECTS,MIXED_REJECTS,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q283#row-0080,PARTIAL,PARTIAL,True,False,False,False,INDETERMINATE_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q296#row-0040,UNAVAILABLE,UNAVAILABLE,False,True,False,True,NO_REJECT,FALSE_POSITIVE_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q297#row-0128,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q300#row-0109,PARTIAL,PARTIAL,True,True,False,False,MIXED_REJECTS,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q308#row-0103,CORRECT,PARTIAL,True,False,False,False,INDETERMINATE_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
