query_id,arm,critical_event_count,true_conflict_count,false_positive_count,indeterminate_count,critical_reject,forced_abstain,final_semantic_label,final_visible,primary_validator_outcome
techqa_DEV_Q051#row-0039,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q077#row-0008,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q077#row-0008,ON,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q085#row-0020,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q085#row-0020,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q092#row-0027,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q092#row-0027,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q095#row-0032,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q095#row-0032,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q111#row-0130,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q111#row-0130,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q112#row-0100,OFF,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q112#row-0100,ON,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q119#row-0077,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q119#row-0077,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q126#row-0066,OFF,3,0,0,3,True,True,UNAVAILABLE,False,INDETERMINATE_REJECT
techqa_DEV_Q126#row-0066,ON,2,0,1,1,True,True,UNAVAILABLE,False,MIXED_REJECTS
techqa_DEV_Q129#row-0013,OFF,1,0,0,1,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q129#row-0013,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q146#row-0056,OFF,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q146#row-0056,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q149#row-0050,OFF,3,0,1,2,True,False,PARTIAL,True,MIXED_REJECTS
techqa_DEV_Q149#row-0050,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q157#row-0153,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q157#row-0153,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q166#row-0119,OFF,0,0,0,0,False,False,INCORRECT,True,NO_REJECT
techqa_DEV_Q166#row-0119,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q172#row-0018,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q172#row-0018,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q173#row-0147,OFF,5,0,5,0,True,True,UNAVAILABLE,False,FALSE_POSITIVE_REJECT
techqa_DEV_Q173#row-0147,ON,3,0,3,0,True,False,INCORRECT,True,FALSE_POSITIVE_REJECT
techqa_DEV_Q174#row-0049,OFF,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q174#row-0049,ON,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q181#row-0079,OFF,1,0,0,1,True,True,UNAVAILABLE,False,INDETERMINATE_REJECT
techqa_DEV_Q181#row-0079,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q182#row-0067,OFF,1,0,0,1,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q182#row-0067,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q186#row-0118,OFF,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q186#row-0118,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q188#row-0026,OFF,1,0,0,1,True,True,UNAVAILABLE,False,INDETERMINATE_REJECT
techqa_DEV_Q188#row-0026,ON,1,0,0,1,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q205#row-0022,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q205#row-0022,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q206#row-0057,OFF,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q206#row-0057,ON,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q218#row-0137,OFF,2,0,1,1,True,False,CORRECT,True,MIXED_REJECTS
techqa_DEV_Q218#row-0137,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q220#row-0046,OFF,1,0,0,1,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q220#row-0046,ON,5,0,2,3,True,False,CORRECT,True,MIXED_REJECTS
techqa_DEV_Q237#row-0031,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q237#row-0031,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q238#row-0136,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q238#row-0136,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q239#row-0098,OFF,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q239#row-0098,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q246#row-0063,OFF,0,0,0,0,False,True,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q246#row-0063,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q250#row-0012,OFF,8,0,0,8,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q250#row-0012,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q251#row-0052,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q251#row-0052,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q252#row-0006,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q252#row-0006,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q259#row-0155,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q259#row-0155,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q267#row-0132,OFF,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q267#row-0132,ON,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q275#row-0091,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q275#row-0091,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q277#row-0042,OFF,2,0,1,1,True,True,UNAVAILABLE,False,MIXED_REJECTS
techqa_DEV_Q277#row-0042,ON,2,0,1,1,True,True,UNAVAILABLE,False,MIXED_REJECTS
techqa_DEV_Q283#row-0080,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q283#row-0080,ON,1,0,0,1,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q296#row-0040,OFF,1,0,1,0,True,True,UNAVAILABLE,False,FALSE_POSITIVE_REJECT
techqa_DEV_Q296#row-0040,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q297#row-0128,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q297#row-0128,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q300#row-0109,OFF,3,0,0,3,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q300#row-0109,ON,3,0,1,2,True,False,PARTIAL,True,MIXED_REJECTS
techqa_DEV_Q308#row-0103,OFF,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q308#row-0103,ON,1,0,0,1,True,False,CORRECT,True,INDETERMINATE_REJECT
