case_id,category,polarity_class,expected_behavior,v3_outcome,v4_outcome,v3_correct,v4_correct,v3_forced_abstain,v4_forced_abstain,change_type,safety_effect,notes
A06,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R01,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R02,REGRESSION,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R03,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R04,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R05,REGRESSION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R06,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R07,REGRESSION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R08,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R09,REGRESSION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R10,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R11,REGRESSION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R12,REGRESSION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
R13,REGRESSION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R14,REGRESSION,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
R15,REGRESSION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,T4 boolean normalization is explicitly out of scope; preserve conservative behavior
S01,SECURITY,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,synthetic hostile support text; no authorization semantics changed
S02,SECURITY,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
S03,SECURITY,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
S04,SECURITY,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
